start_time,open_price,high_price,low_price,close_price,volume,turnover,category,symbol,interval,resistance,support
1725685200000,54058.01,54378.11,54004.2,54180.09,967.554586,52449710.42359056,spot,BTCUSDT,60,55376.91,53628.06
1725681600000,53823.14,54067.81,53810.73,54058.01,678.118458,36558778.43807288,spot,BTCUSDT,60,55376.91,53628.06
1725678000000,53809.01,53876.77,53786.46,53823.14,738.585463,39765902.39675876,spot,BTCUSDT,60,55376.91,53628.06
1725674400000,53822.99,53953.0,53758.02,53809.01,973.758006,52444627.77298975,spot,BTCUSDT,60,55376.91,53628.06
1725670800000,53918.56,54001.65,53750.02,53822.99,942.941329,50786680.40502344,spot,BTCUSDT,60,55324.49,53628.06
1725667200000,53961.62,54095.31,53884.01,53918.56,1255.012338,67747814.6998292,spot,BTCUSDT,60,55324.49,53628.06
1725663600000,53642.58,53971.99,53608.01,53961.62,887.699749,47742656.53288618,spot,BTCUSDT,60,55324.49,53608.01
1725660000000,53772.85,53863.99,53605.5,53642.58,1061.372678,57068036.60578701,spot,BTCUSDT,60,54851.34,53605.5
1725656400000,52890.14,53776.35,52535.5,53772.85,1155.724701,61390840.80393545,spot,BTCUSDT,60,54851.34,52535.5
1725652800000,53538.03,53803.9,52637.3,52890.14,1937.249828,103003733.37858497,spot,BTCUSDT,60,54851.34,52535.5
1725649200000,53348.6,53995.42,53263.8,53538.03,1679.11842,90021761.4537389,spot,BTCUSDT,60,54851.34,52535.5
1725645600000,53936.71,53998.47,53345.0,53348.6,1762.365355,94615378.7987286,spot,BTCUSDT,60,54851.34,52535.5
1725642000000,54075.05,54439.09,53699.59,53936.71,1366.50377,73885676.62396526,spot,BTCUSDT,60,54851.34,52535.5
1725638400000,54041.46,54265.6,53624.03,54075.05,1662.354194,89801612.67190756,spot,BTCUSDT,60,54851.34,52535.5
1725634800000,54724.69,55009.07,53806.75,54041.46,2241.772834,121775643.702032,spot,BTCUSDT,60,55009.07,52535.5
1725631200000,55892.04,55935.69,54408.2,54724.69,2803.962568,154398306.76427436,spot,BTCUSDT,60,55935.69,52535.5
1725627600000,56877.09,57018.51,55846.23,55892.04,1703.058579,96132307.02611436,spot,BTCUSDT,60,57018.51,52535.5
1725624000000,56003.03,56940.74,55652.58,56877.09,2223.658122,125399373.33274736,spot,BTCUSDT,60,57018.51,52535.5
1725620400000,56171.18,56250.23,55834.91,56003.03,930.125834,52127454.83651796,spot,BTCUSDT,60,57018.51,52535.5
1725616800000,55894.15,56268.76,55885.02,56171.18,1086.328642,60932210.90599999,spot,BTCUSDT,60,57018.51,52535.5
1725613200000,55784.42,55929.99,55674.19,55894.15,1028.074995,57384213.93425717,spot,BTCUSDT,60,57018.51,52535.5
1725609600000,55797.29,55939.0,55631.56,55784.42,1189.95969,66392379.65564828,spot,BTCUSDT,60,57018.51,52535.5
1725606000000,56427.12,56446.61,55264.86,55797.29,2051.75127,114305180.74718972,spot,BTCUSDT,60,57018.51,52535.5
1725602400000,56491.99,56526.85,56275.2,56427.12,867.538135,48913213.99650705,spot,BTCUSDT,60,57018.51,52535.5
1725598800000,56590.9,56670.64,56306.7,56491.99,747.487467,42207961.50445731,spot,BTCUSDT,60,57018.51,52535.5
1725595200000,56583.7,56750.0,56580.6,56590.9,587.384249,33286276.33489821,spot,BTCUSDT,60,57018.51,52535.5
1725591600000,56743.93,56845.99,56531.43,56583.7,835.637167,47414099.42068132,spot,BTCUSDT,60,57018.51,52535.5
1725588000000,56558.54,56863.29,56498.51,56743.93,1034.701814,58708733.6088406,spot,BTCUSDT,60,57018.51,52535.5
1725584400000,56176.18,56616.86,55986.42,56558.54,1232.179428,69328188.69695629,spot,BTCUSDT,60,57018.51,52535.5
1725580800000,56177.67,56338.33,55984.0,56176.18,1222.994841,68701431.12566315,spot,BTCUSDT,60,57018.51,52535.5
1725577200000,56101.68,56214.0,55984.09,56177.67,800.145254,44896095.38241049,spot,BTCUSDT,60,57018.51,52535.5
1725573600000,56144.05,56230.16,55776.38,56101.68,768.555449,43056287.3294035,spot,BTCUSDT,60,57018.51,52535.5
1725570000000,56088.93,56256.42,55632.01,56144.05,511.491797,28654722.27990444,spot,BTCUSDT,60,57018.51,52535.5
1725566400000,56054.6,56258.33,56002.01,56088.93,905.181993,50789169.56886431,spot,BTCUSDT,60,57018.51,52535.5
1725562800000,56540.75,56573.32,55768.68,56054.6,1181.828223,66401637.81023529,spot,BTCUSDT,60,57018.51,52535.5
1725559200000,56606.36,56714.87,56497.49,56540.75,946.086827,53559713.73212232,spot,BTCUSDT,60,57018.51,52535.5
1725555600000,56342.23,56619.79,56193.05,56606.36,1049.979141,59212052.01401663,spot,BTCUSDT,60,57018.51,52535.5
1725552000000,55971.98,56405.94,55952.98,56342.23,1036.131892,58213265.89462913,spot,BTCUSDT,60,57018.51,52535.5
1725548400000,56555.06,56674.25,55803.54,55971.98,1830.527166,102911488.6474237,spot,BTCUSDT,60,57018.51,52535.5
1725544800000,57029.59,57342.3,56476.58,56555.06,1456.266207,82933555.51214623,spot,BTCUSDT,60,57342.3,52535.5
1725541200000,56660.72,57162.25,56563.11,57029.59,1951.505406,110807259.89808507,spot,BTCUSDT,60,57342.3,52535.5
1725537600000,56692.95,56849.66,56347.51,56660.72,1832.728605,103735709.81150176,spot,BTCUSDT,60,57342.3,52535.5
1725534000000,56773.69,56868.67,56654.21,56692.95,1212.951255,68830527.79634576,spot,BTCUSDT,60,57342.3,52535.5
1725530400000,56797.39,56852.11,56650.01,56773.69,1418.09764,80483138.71669225,spot,BTCUSDT,60,57342.3,52535.5
1725526800000,57012.85,57020.21,56621.84,56797.39,1383.791951,78660959.3338473,spot,BTCUSDT,60,57342.3,52535.5
1725523200000,57153.66,57233.44,56950.73,57012.85,1009.903951,57660630.09055585,spot,BTCUSDT,60,57342.3,52535.5
1725519600000,56910.26,57246.32,56827.6,57153.66,1101.80344,62935244.67884713,spot,BTCUSDT,60,57342.3,52535.5
1725516000000,57195.2,57229.99,56537.77,56910.26,1388.620937,79078481.7653316,spot,BTCUSDT,60,57342.3,52535.5
1725512400000,57212.34,57264.09,57025.36,57195.2,1029.235995,58839883.6480741,spot,BTCUSDT,60,57342.3,52535.5
1725508800000,57130.84,57292.15,57069.1,57212.34,983.860398,56277909.59882829,spot,BTCUSDT,60,57342.3,52535.5
1725505200000,57693.34,57696.47,56912.01,57130.84,1594.769806,91225353.85394992,spot,BTCUSDT,60,57696.47,52535.5
1725501600000,58025.1,58068.69,57641.42,57693.34,970.992951,56132018.60720513,spot,BTCUSDT,60,58068.69,52535.5
1725498000000,58006.9,58250.67,57952.61,58025.1,936.699271,54406590.73023182,spot,BTCUSDT,60,58250.67,52535.5
1725494400000,57972.69,58333.08,57953.52,58006.9,1062.776013,61766748.02722267,spot,BTCUSDT,60,58333.08,52535.5
1725490800000,58133.76,58238.09,57887.42,57972.69,966.18612,56125455.8742541,spot,BTCUSDT,60,58333.08,52535.5
1725487200000,58102.18,58396.69,58030.61,58133.76,842.284136,48998552.22479727,spot,BTCUSDT,60,58396.69,52535.5
1725483600000,58036.7,58125.0,57939.84,58102.18,285.366963,16560495.38824595,spot,BTCUSDT,60,58396.69,52637.3
1725480000000,58050.63,58182.66,57840.13,58036.7,750.713142,43548262.77542998,spot,BTCUSDT,60,58396.69,53263.8
1725476400000,57679.99,58168.49,57653.81,58050.63,904.254563,52331373.53195137,spot,BTCUSDT,60,58396.69,53345.0
1725472800000,57874.29,57999.99,57631.85,57679.99,1189.906024,68791878.90434206,spot,BTCUSDT,60,58396.69,53624.03
1725469200000,58404.42,58476.91,57813.98,57874.29,974.015864,56612150.41372876,spot,BTCUSDT,60,58476.91,53624.03
1725465600000,58126.99,58526.02,58115.59,58404.42,1169.234922,68200705.68507025,spot,BTCUSDT,60,58526.02,53806.75
1725462000000,57515.45,58161.4,57360.82,58126.99,1752.813186,101061320.3567695,spot,BTCUSDT,60,58526.02,54408.2
1725458400000,56493.14,57587.29,56173.91,57515.45,2636.165911,149399896.5043137,spot,BTCUSDT,60,58526.02,55264.86
1725454800000,56608.53,56693.5,56318.01,56493.14,1764.279256,99656310.34280556,spot,BTCUSDT,60,58526.02,55264.86
1725451200000,56567.11,56767.18,56489.22,56608.53,929.49397,52623395.56059718,spot,BTCUSDT,60,58526.02,55264.86
1725447600000,56455.63,56699.98,56454.5,56567.11,948.305796,53644184.24388202,spot,BTCUSDT,60,58526.02,55264.86
1725444000000,56603.59,56705.84,56448.34,56455.63,1036.546392,58618185.66134155,spot,BTCUSDT,60,58526.02,55264.86
1725440400000,56779.56,56863.44,56577.57,56603.59,1041.692538,59072031.01715567,spot,BTCUSDT,60,58526.02,55264.86
1725436800000,56748.85,56902.57,56667.44,56779.56,982.479604,55774548.85252692,spot,BTCUSDT,60,58526.02,55264.86
1725433200000,56269.14,56889.33,56243.49,56748.85,1449.769452,82029537.10376628,spot,BTCUSDT,60,58526.02,55632.01
1725429600000,56241.14,56526.06,56226.47,56269.14,1179.768401,66523345.30905838,spot,BTCUSDT,60,58526.02,55632.01
1725426000000,56693.66,56694.21,56169.91,56241.14,1137.834621,64200203.04344812,spot,BTCUSDT,60,58526.02,55632.01
1725422400000,56662.87,56731.27,56556.47,56693.66,1056.313262,59843804.72156073,spot,BTCUSDT,60,58526.02,55632.01
1725418800000,56644.07,56849.46,56606.44,56662.87,1110.192315,62999177.66647845,spot,BTCUSDT,60,58526.02,55632.01
1725415200000,56782.0,56825.69,56510.42,56644.07,994.406455,56359032.07128634,spot,BTCUSDT,60,58526.02,55632.01
1725411600000,57136.9,57154.19,55566.05,56782.0,3567.113291,200931719.43936443,spot,BTCUSDT,60,58526.02,55566.05
1725408000000,57481.78,57945.05,57100.0,57136.9,1774.157493,102324531.41642097,spot,BTCUSDT,60,58526.02,55566.05
1725404400000,57867.92,57911.88,57401.01,57481.78,1710.297189,98644845.6207322,spot,BTCUSDT,60,58526.02,55566.05
1725400800000,58129.5,58189.82,57859.2,57867.92,993.735257,57628682.49697666,spot,BTCUSDT,60,58526.02,55566.05
1725397200000,58231.57,58241.44,57969.23,58129.5,485.734558,28224495.91215935,spot,BTCUSDT,60,58526.02,55566.05
1725393600000,58048.3,58238.2,58046.56,58231.57,740.964505,43088918.33972895,spot,BTCUSDT,60,58526.02,55566.05
1725390000000,57925.34,58255.51,57843.0,58048.3,1133.747273,65768460.41502163,spot,BTCUSDT,60,58526.02,55566.05
1725386400000,57700.26,58058.0,57585.71,57925.34,855.386131,49497695.19391704,spot,BTCUSDT,60,58526.02,55566.05
1725382800000,57700.57,58110.35,57673.04,57700.26,872.624302,50490421.71491835,spot,BTCUSDT,60,58526.02,55566.05
1725379200000,57720.56,57932.3,57655.53,57700.57,949.99037,54892174.36471072,spot,BTCUSDT,60,58526.02,55566.05
1725375600000,57678.25,58032.56,57623.34,57720.56,983.903082,56855813.11061206,spot,BTCUSDT,60,58526.02,55566.05
1725372000000,58401.52,58401.53,57568.13,57678.25,1619.753877,93838437.0764042,spot,BTCUSDT,60,58526.02,55566.05
1725368400000,59139.2,59318.45,58194.4,58401.52,1361.88097,80020876.70446406,spot,BTCUSDT,60,59318.45,55566.05
1725364800000,59068.28,59358.85,59052.17,59139.2,763.406194,45196910.25514468,spot,BTCUSDT,60,59358.85,55566.05
1725361200000,59080.68,59108.87,58947.47,59068.28,527.927155,31166727.11728988,spot,BTCUSDT,60,59358.85,55566.05
1725357600000,58866.51,59199.97,58831.9,59080.68,629.061052,37124068.57023944,spot,BTCUSDT,60,59358.85,55566.05
1725354000000,58781.32,58960.05,58777.78,58866.51,674.061578,39688461.59096064,spot,BTCUSDT,60,59358.85,55566.05
1725350400000,59106.05,59138.0,58711.87,58781.32,697.602158,41115603.40817502,spot,BTCUSDT,60,59358.85,55566.05
1725346800000,58888.93,59134.55,58874.19,59106.05,594.338373,35073531.31275614,spot,BTCUSDT,60,59358.85,55566.05
1725343200000,59193.55,59193.55,58866.72,58888.93,652.996046,38512542.34273001,spot,BTCUSDT,60,59358.85,55566.05
1725339600000,59095.43,59262.39,58990.0,59193.55,567.763786,33597102.94001657,spot,BTCUSDT,60,59358.85,55566.05
1725336000000,59118.44,59245.29,59003.01,59095.43,698.994114,41333472.10358817,spot,BTCUSDT,60,59358.85,55566.05
1725332400000,59312.55,59335.9,59080.3,59118.44,721.661174,42733649.66375938,spot,BTCUSDT,60,59358.85,55566.05
1725328800000,59388.07,59825.0,59309.23,59312.55,1145.084054,68198269.99310236,spot,BTCUSDT,60,59825.0,55566.05
1725325200000,59261.0,59414.3,59192.36,59388.07,780.873563,46302352.40073886,spot,BTCUSDT,60,59825.0,55566.05
1725321600000,59142.75,59261.0,59027.31,59261.0,740.647411,43792890.89326245,spot,BTCUSDT,60,59825.0,55566.05
1725318000000,59348.2,59432.74,59068.88,59142.75,719.740442,42615854.22444474,spot,BTCUSDT,60,59825.0,55566.05
1725314400000,59045.87,59368.76,59003.37,59348.2,836.770151,49502697.74890907,spot,BTCUSDT,60,59825.0,55566.05
1725310800000,58989.23,59280.3,58888.0,59045.87,807.053535,47725647.88085723,spot,BTCUSDT,60,59825.0,55566.05
1725307200000,58446.99,59267.17,58380.57,58989.23,1435.389703,84362912.51455756,spot,BTCUSDT,60,59825.0,55566.05
1725303600000,58485.98,58566.19,58394.94,58446.99,792.832858,46358548.72492144,spot,BTCUSDT,60,59825.0,55566.05
1725300000000,58521.37,58671.36,58319.2,58485.98,1426.776349,83468586.2001443,spot,BTCUSDT,60,59825.0,55566.05
1725296400000,58343.77,58567.59,58295.57,58521.37,1331.252878,77810065.00802957,spot,BTCUSDT,60,59825.0,55566.05
1725292800000,58539.11,58660.59,58297.51,58343.77,799.663211,46755749.00124852,spot,BTCUSDT,60,59825.0,55566.05
1725289200000,58613.86,58749.09,58498.38,58539.11,984.423114,57712854.76856185,spot,BTCUSDT,60,59825.0,55566.05
1725285600000,58180.53,58818.17,58101.78,58613.86,1419.803739,83044690.98369105,spot,BTCUSDT,60,59825.0,55566.05
1725282000000,58386.01,58493.07,58153.36,58180.53,974.612734,56809731.21764708,spot,BTCUSDT,60,59825.0,55566.05
1725278400000,58424.07,58512.51,58252.97,58386.01,870.591229,50807021.48735253,spot,BTCUSDT,60,59825.0,55566.05
1725274800000,58495.45,58666.0,58344.1,58424.07,902.792936,52813327.06041188,spot,BTCUSDT,60,59825.0,55566.05
1725271200000,58397.38,58587.68,58272.78,58495.45,1018.950423,59521709.86436337,spot,BTCUSDT,60,59825.0,55566.05
